employee_id,store_id,employee_name,role,hourly_wage_mxn,max_weekly_hours,is_strike_force,secondary_role
E00001,S001,Dra. María Cristina Merino,Floor,70.0,40,0,None
E00002,S001,Sr. Ernesto Fonseca,Customer Service,85.0,40,0,None
E00003,S001,Pilar Roldán,Cashier,75.0,40,0,None
E00004,S001,Sra. Florencia Terrazas,Floor,70.0,40,0,None
E00005,S001,Ing. Jacinto Palacios,Stock,65.0,40,0,None
E00006,S001,Benjamín José Eduardo Alejandro Arellano,Cashier,75.0,40,0,None
E00007,S001,Ana María Ontiveros,Cashier,84.0,40,1,Floor
E00008,S001,Srita. Guadalupe Garza,Stock,65.0,40,0,None
E00009,S001,Guadalupe Barraza,Stock,65.0,40,0,None
E00010,S001,Citlali Claudia Olmos,Stock,65.0,40,0,None
E00011,S001,Abigail Suárez Tejeda,Cashier,75.0,40,0,None
E00012,S001,Liliana Hernandes,Stock,65.0,40,0,None
E00013,S001,Abigail Borrego,Floor,70.0,40,0,None
E00014,S001,Guadalupe Irma Olivo Ballesteros,Supervisor,120.0,40,0,None
E00015,S001,Isabel Ramón,Cashier,75.0,40,0,None
E00016,S001,Eugenia Elvia Cuellar,Cashier,84.0,40,1,Floor
E00017,S001,Israel Lozano,Cashier,75.0,40,0,None
E00018,S001,César Eugenio Valverde,Cashier,75.0,40,0,None
E00019,S001,Arturo Hernán Rosario,Stock,65.0,40,0,None
E00020,S001,Roberto Fernando Salgado,Stock,65.0,40,0,None
E00021,S001,Rodolfo Horacio Sisneros Estrada,Stock,65.0,40,0,None
E00022,S001,José Muro Rivera,Floor,70.0,40,0,None
E00023,S001,Elvira Muñiz Cepeda,Stock,65.0,40,0,None
E00024,S001,Porfirio Omar Ponce,Cashier,84.0,40,1,Floor
E00025,S001,Sr. Benito Berríos,Stock,65.0,40,0,None
E00026,S001,Maximiliano Laureano Alcala,Stock,65.0,40,0,None
E00027,S001,Juan Carlos Bernardo Hernández,Floor,70.0,40,0,None
E00028,S001,Eugenio Francisco Muñiz Valdivia,Stock,65.0,40,0,None
E00029,S001,Daniel Cepeda,Stock,65.0,40,0,None
E00030,S001,Arturo Alonso Berríos Rosales,Cashier,75.0,40,0,None
E00031,S001,Lorenzo Leonardo Camarillo Carreón,Floor,70.0,40,0,None
E00032,S001,Carmen María Teresa Medrano,Floor,70.0,40,0,None
E00033,S001,Mitzy Esparza Puente,Cashier,75.0,40,0,None
E00034,S001,Joaquín Sauceda,Floor,70.0,40,0,None
E00035,S001,Ángela Collazo,Cashier,75.0,40,0,None
E00036,S001,Esperanza Mercedes Lara,Stock,65.0,40,0,None
E00037,S001,José Eduardo Alfonso Nava,Floor,70.0,40,0,None
E00038,S001,Lic. Tomás Torres,Customer Service,85.0,40,0,None
E00039,S001,Julio César Uriel Monroy,Cashier,75.0,40,0,None
E00040,S001,Ing. Alvaro Urrutia,Cashier,75.0,40,0,None
E00041,S001,Hermelinda Yeni Pulido,Cashier,75.0,40,0,None
E00042,S001,Manuel Mercado,Supervisor,120.0,40,0,None
E00043,S001,Héctor Miguel Balderas Franco,Floor,70.0,40,0,None
E00044,S001,Sr. René Tamez,Customer Service,85.0,40,0,None
E00045,S001,Camilo Juan Carlos Benavídez Murillo,Cashier,84.0,40,1,Floor
E00046,S001,Nicolás Bétancourt Lozada,Floor,78.4,40,1,Cashier
E00047,S001,Evelio Santiago Rascón,Cashier,75.0,40,0,None
E00048,S001,Héctor Gonzalo Irizarry Molina,Cashier,75.0,40,0,None
E00049,S001,Jacobo Hurtado Miranda,Supervisor,120.0,40,0,None
E00050,S001,Timoteo Acosta Velasco,Floor,70.0,40,0,None
E00051,S001,Lic. Francisco Uribe,Cashier,75.0,40,0,None
E00052,S001,Abelardo Granado,Supervisor,120.0,40,0,None
E00053,S001,Daniela Fabiola Grijalva,Floor,70.0,40,0,None
E00054,S001,Clara Oquendo,Stock,65.0,40,0,None
